problem_id,title,difficulty,acceptance_rate_if_available,inferred_family,subfamily,state_shape,recurrence_shape,evaluation_order,transition_cost,likely_time_complexity,likely_space_complexity,top_down_or_bottom_up_preferred,optimization_primitives,representative_or_not,confidence,notes
486,Predict the Winner,Medium,56.2%,Game DP / Minimax Boundary,Interval score-difference DP,dp[l][r] or dp[i] depending variant,choose left/right/split; maximize score difference,increasing interval length or reverse index,O(1) to O(n),O(n^2) to O(n^3),O(n^2) or optimized,bottom-up or memoized recursion,prefix sums; score difference; monotonic optimizations,representative,manual-high,Most Stone variants are interval/game DPs; verify exact recurrence per variant.
487,Max Consecutive Ones II,Medium,52.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
488,Zuma Game,Hard,29.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
494,Target Sum,Medium,52.2%,Misc / Title-Inferred DP,Signed subset sum transform,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
509,Fibonacci Number,Easy,74.1%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,representative,heuristic-high,Counting DP often uses finite automaton states.
514,Freedom Trail,Hard,59.3%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
516,Longest Palindromic Subsequence,Medium,65.4%,Palindrome / Subsequence DP,Palindrome subsequence interval DP,dp[l][r],if ends match use inner; else drop one end,increasing interval length,O(1),O(n^2),O(n^2),bottom-up by length,rolling diagonals sometimes,representative,manual-high,Subsequence interval DP; not center expansion.
518,Coin Change II,Medium,60.1%,Misc / Title-Inferred DP,Coin Change counting combinations,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
526,Beautiful Arrangement,Medium,64.8%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,representative,heuristic-high,Mask is likely from subset constraints or bitwise states.
542,01 Matrix,Medium,53.8%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
546,Remove Boxes,Hard,49.4%,Interval DP,Split-point interval DP,dp[l][r] over interval,choose split/boundary action k,increasing interval length,O(n) split choices,O(n^3) typical,O(n^2),bottom-up by interval length or top-down memo,prefix sums; augmented boundaries; Knuth/monotone if valid,representative,manual-high,"Classic interval DP: if both prefix and suffix seem needed, use intervals."
552,Student Attendance Record II,Hard,56.6%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
553,Optimal Division,Medium,63.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
562,Longest Line of Consecutive One in Matrix,Medium,50.6%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
568,Maximum Vacation Days,Hard,46.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
576,Out of Boundary Paths,Medium,48.4%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,representative,manual-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
583,Delete Operation for Two Strings,Medium,65.5%,Two-Sequence Alignment DP,Two-prefix/two-suffix sequence DP,dp[i][j] over prefixes/suffixes of two sequences,match/mismatch/delete/insert/skip transitions,row-major or reverse row-major depending prefix/suffix convention,O(1) to O(k),O(mn),"O(min(m,n)) if compressible",bottom-up or memoized recursion,rolling rows; suffix convention clarity,representative,manual-high,Product state space of two sequence positions.
600,Non-negative Integers without Consecutive Ones,Hard,42.3%,Digit DP,Digit tight-state DP,dp[pos][tight][started][extra_state],choose next digit respecting tight bound,left-to-right over digits,O(10 * extra_state),O(num_digits * states * 10),O(states),top-down memo usually,tight flag; leading-zero handling,representative,manual-high,Carefully separate started/leading zeros and tight/non-tight states.
629,K Inverse Pairs Array,Hard,49.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
634,Find the Derangement of An Array,Medium,41.7%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
638,Shopping Offers,Medium,52.4%,Knapsack / Capacity DP,Capacity / choice DP,dp[i][capacity] or compressed dp[capacity],include / exclude / repeat item; aggregate min/max/count,"item-major; reverse loop for 0/1, forward for unbounded",O(1) per item-capacity cell,O(n * capacity),O(capacity) if compressed,bottom-up usually,reverse/forward capacity loop; modulo counts; prefix sums,non-representative / later refinement,heuristic-high,"Loop order determines whether states count combinations, permutations, 0/1, or unbounded choices."
639,Decode Ways II,Hard,31.9%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
646,Maximum Length of Pair Chain,Medium,61.7%,Subsequence DP,Run/sequence local-global DP,dp[i] with last relation or previous choice,extend compatible previous state or restart,increasing i,O(1) to O(n),O(n) to O(n^2),O(1)/O(n),bottom-up,rolling local state; maps if relation-dependent,non-representative / later refinement,heuristic-medium,General sequence DP; refine per statement.
647,Palindromic Substrings,Medium,72.8%,Palindrome / Substring DP,Palindrome substring center/table DP,dp[l][r] boolean or radius around center,chars match and inner substring valid,increasing length or center expansion,O(1),O(n^2),O(n^2)/O(1),bottom-up or center expansion,center expansion; boolean table,representative,manual-high,Substring means contiguous; do not confuse with subsequence.
